quantity,teacher,student,diff,lo,hi,verdict
purchase_rate,0.691590909090909,0.6903787878787878,-0.0012121212121212015,-0.004001819720177536,0.0015775772959351327,
pair_stability,0.4246729301122194,0.42322804329120056,-0.0014448868210188055,-0.006830104726221728,0.003940331084184117,
Poor_to_Slow,0.999967824967825,0.9999359806147827,-3.1844353042261483e-05,-9.298654419405606e-05,2.9297838109533096e-05,equivalent
Poor_to_Shigh,3.217503217503217e-05,6.401938521729728e-05,3.18443530422651e-05,-2.9297838109532907e-05,9.298654419406311e-05,equivalent
Middle_to_Slow,0.8031822281661091,0.8020249150706238,-0.0011573130954853831,-0.008262921286017603,0.005948295095046838,equivalent
Middle_to_Shigh,0.19681777183389093,0.19797508492937632,0.0011573130954853808,-0.0059482950950468395,0.008262921286017601,equivalent
Rich_to_Slow,0.7053402709290798,0.6982026608458074,-0.007137610083272335,-0.015024104329616702,0.0007488841630720324,equivalent
Rich_to_Shigh,0.29465972907092025,0.3017973391541926,0.007137610083272355,-0.0007488841630720073,0.015024104329616718,equivalent
