seed,week_number,attendance_rate,purchase_rate,buyer_seller_pair_stability,mean_loyalty_streak,total_revenue,promotion_seller_id,Poor_to_Slow_share,Poor_to_Shigh_share,Middle_to_Slow_share,Middle_to_Shigh_share,Rich_to_Slow_share,Rich_to_Shigh_share
0,0,0.85,0.67,,1.0,204.0,-1,1.0,0.0,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.3333333333333333
0,1,0.84,0.64,0.27906976744186046,1.1875,160.0,-1,1.0,0.0,0.9411764705882353,0.058823529411764705,0.8,0.2
0,2,0.86,0.68,0.30952380952380953,1.2941176470588236,182.0,-1,1.0,0.0,0.8421052631578947,0.15789473684210525,0.7857142857142857,0.21428571428571427
0,3,0.81,0.6,0.325,1.3833333333333333,190.0,-1,1.0,0.0,0.8260869565217391,0.17391304347826086,0.6,0.4
0,4,0.87,0.7,0.3055555555555556,1.4,184.59999999999997,1,1.0,0.0,0.8235294117647058,0.17647058823529413,0.7368421052631579,0.2631578947368421
0,5,0.85,0.68,0.3541666666666667,1.5147058823529411,208.0,-1,1.0,0.0,0.8,0.2,0.625,0.375
0,6,0.78,0.56,0.3333333333333333,1.4464285714285714,158.0,-1,1.0,0.0,0.7222222222222222,0.2777777777777778,0.8181818181818182,0.18181818181818182
0,7,0.82,0.56,0.23529411764705882,1.3214285714285714,163.4,3,1.0,0.0,0.7619047619047619,0.23809523809523808,0.7333333333333333,0.26666666666666666
0,8,0.9,0.71,0.358974358974359,1.6901408450704225,210.0,-1,1.0,0.0,0.8846153846153846,0.11538461538461539,0.6666666666666666,0.3333333333333333
0,9,0.87,0.67,0.25,1.626865671641791,166.0,-1,1.0,0.0,0.8235294117647058,0.17647058823529413,0.9090909090909091,0.09090909090909091
0,10,0.83,0.68,0.37777777777777777,1.6176470588235294,202.0,-1,1.0,0.0,0.7894736842105263,0.21052631578947367,0.7222222222222222,0.2777777777777778
0,11,0.84,0.68,0.30612244897959184,1.588235294117647,196.0,-1,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6153846153846154,0.38461538461538464
0,12,0.84,0.63,0.3170731707317073,1.5873015873015872,184.0,-1,1.0,0.0,0.7894736842105263,0.21052631578947367,0.6666666666666666,0.3333333333333333
0,13,0.85,0.57,0.35,1.719298245614035,156.0,-1,1.0,0.0,0.8125,0.1875,0.8571428571428571,0.14285714285714285
