seed,week_number,attendance_rate,purchase_rate,buyer_seller_pair_stability,mean_loyalty_streak,total_revenue,promotion_seller_id,Poor_to_Slow_share,Poor_to_Shigh_share,Middle_to_Slow_share,Middle_to_Shigh_share,Rich_to_Slow_share,Rich_to_Shigh_share
0,0,0.85,0.67,,1.0,206.0,-1,1.0,0.0,0.7391304347826086,0.2608695652173913,0.6428571428571429,0.35714285714285715
0,1,0.84,0.67,0.391304347826087,1.2686567164179106,178.8,-1,1.0,0.0,0.8421052631578947,0.15789473684210525,0.7777777777777778,0.2222222222222222
0,2,0.86,0.71,0.3958333333333333,1.3943661971830985,203.00000000000006,-1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.7692307692307693,0.23076923076923078
0,3,0.81,0.63,0.4090909090909091,1.5555555555555556,207.99999999999997,-1,1.0,0.0,0.8333333333333334,0.16666666666666666,0.6153846153846154,0.38461538461538464
0,4,0.87,0.73,0.3953488372093023,1.547945205479452,218.8,1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.7368421052631579,0.2631578947368421
0,5,0.85,0.71,0.4117647058823529,1.676056338028169,230.39999999999998,-1,1.0,0.0,0.7916666666666666,0.20833333333333334,0.6875,0.3125
0,6,0.78,0.63,0.4090909090909091,1.7619047619047619,178.40000000000003,-1,1.0,0.0,0.7777777777777778,0.2222222222222222,0.8333333333333334,0.16666666666666666
0,7,0.82,0.67,0.4418604651162791,1.955223880597015,216.2,3,1.0,0.0,0.7916666666666666,0.20833333333333334,0.6875,0.3125
0,8,0.9,0.78,0.56,2.2564102564102564,245.60000000000002,-1,1.0,0.0,0.8846153846153846,0.11538461538461539,0.6428571428571429,0.35714285714285715
0,9,0.87,0.71,0.39622641509433965,1.9859154929577465,193.6,-1,1.0,0.0,0.9523809523809523,0.047619047619047616,0.8888888888888888,0.1111111111111111
0,10,0.83,0.7,0.4,1.9285714285714286,225.99999999999997,-1,1.0,0.0,0.7647058823529411,0.23529411764705882,0.6470588235294118,0.35294117647058826
0,11,0.84,0.72,0.4528301886792453,1.9027777777777777,231.40000000000003,-1,1.0,0.0,0.8,0.2,0.6,0.4
0,12,0.84,0.68,0.3829787234042553,2.0441176470588234,201.59999999999997,-1,1.0,0.0,0.9090909090909091,0.09090909090909091,0.7857142857142857,0.21428571428571427
0,13,0.85,0.63,0.5652173913043478,2.380952380952381,206.39999999999998,-1,1.0,0.0,0.7368421052631579,0.2631578947368421,0.8,0.2
0,14,0.83,0.69,0.5106382978723404,2.318840579710145,228.0,-1,1.0,0.0,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.29411764705882354
0,15,0.77,0.68,0.43478260869565216,2.2794117647058822,203.99999999999994,-1,1.0,0.0,0.7368421052631579,0.2631578947368421,0.7692307692307693,0.23076923076923078
0,16,0.87,0.73,0.35185185185185186,1.9863013698630136,224.59999999999997,4,1.0,0.0,0.6190476190476191,0.38095238095238093,0.6428571428571429,0.35714285714285715
0,17,0.81,0.66,0.4897959183673469,2.0303030303030303,190.79999999999995,-1,1.0,0.0,0.8333333333333334,0.16666666666666666,0.8,0.2
0,18,0.81,0.68,0.37777777777777777,1.7352941176470589,221.19999999999993,3,1.0,0.0,0.7142857142857143,0.2857142857142857,0.5555555555555556,0.4444444444444444
0,19,0.82,0.67,0.5,2.253731343283582,202.95999999999998,1,1.0,0.0,0.782608695652174,0.21739130434782608,0.6153846153846154,0.38461538461538464
0,20,0.84,0.65,0.5208333333333334,2.0923076923076924,184.2,-1,1.0,0.0,0.9375,0.0625,0.6,0.4
0,21,0.79,0.63,0.4444444444444444,1.7936507936507937,205.19999999999996,-1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.7857142857142857,0.21428571428571427
0,22,0.87,0.66,0.4888888888888889,1.803030303030303,221.05999999999995,1,1.0,0.0,0.6086956521739131,0.391304347826087,0.7894736842105263,0.21052631578947367
