cell,delta,saturation,saturated_share,bonus_iqr,bonus_mean,permanent_switch_rate,oracle_price,oracle_profit,gate1a,gate1b,gate1
phase7e_d000_s100,0.0,1.0,0.0,0.40926915407180786,0.6553335568828037,0.045268435568402675,2.65,31.55526136363636,True,False,False
phase7e_d025_s100,0.25,1.0,0.0,0.41493791341781616,0.6653695939787367,0.045265514316842594,2.65,31.64479545454545,True,False,False
phase7e_d050_s100,0.5,1.0,0.0,0.4206482470035553,0.6757165443452351,0.044672121551036025,2.65,31.722988636363635,True,False,False
phase7e_d100_s100,1.0,1.0,0.0,0.4321538358926773,0.6932545227513063,0.04534619203393005,2.65,31.858727272727272,True,False,False
phase7e_d000_s125,0.0,1.25,0.0,0.3378244563937187,0.5271153849733293,0.03799621101027588,2.65,30.22731818181818,True,False,False
phase7e_d025_s125,0.25,1.25,0.0,0.34460677951574326,0.5360361457755577,0.03797866715062676,2.65,30.31176136363636,True,False,False
phase7e_d050_s125,0.5,1.25,0.0,0.360914021730423,0.5464491979134927,0.03826852222309053,2.65,30.402636363636354,True,False,False
phase7e_d100_s125,1.0,1.25,0.0,0.38155579566955566,0.5637735462358935,0.033761399105772506,2.65,30.54027272727272,True,False,False
