cell,price,profit
counter (7a-7d),1.8,13.089303030303004
counter (7a-7d),1.85,14.348022727272753
counter (7a-7d),1.9,15.648590909090881
counter (7a-7d),1.95,16.954750000000026
counter (7a-7d),2.0,18.14257575757576
counter (7a-7d),2.05,19.385670454545426
counter (7a-7d),2.1,20.606946969696985
counter (7a-7d),2.15,21.800314393939377
counter (7a-7d),2.2,22.921272727272754
counter (7a-7d),2.25,23.91344696969697
counter (7a-7d),2.3,24.981151515151485
counter (7a-7d),2.35,25.911375000000014
counter (7a-7d),2.4,26.77169696969696
counter (7a-7d),2.45,27.59254545454549
counter (7a-7d),2.5,28.029545454545456
counter (7a-7d),2.55,28.417712121212087
counter (7a-7d),2.6,28.5409696969697
counter (7a-7d),2.65,28.52794318181817
counter (7a-7d),2.7,28.18340151515154
counter (7a-7d),2.75,27.875321969696973
counter (7a-7d),2.8,27.514727272727253
counter (7a-7d),2.85,26.61440151515153
counter (7a-7d),2.9,25.947772727272707
counter (7a-7d),2.95,25.05635227272729
counter (7a-7d),3.0,23.793939393939393
counter (7a-7d),3.05,22.64167803030302
counter (7a-7d),3.1,21.847659090909104
counter (7a-7d),3.15,20.972723484848473
counter (7a-7d),3.2,19.958242424242428
counter (7a-7d),3.25,19.033522727272732
counter (7a-7d),3.3,17.66909848484848
counter (7a-7d),3.35,16.943996212121217
counter (7a-7d),3.4,16.19486363636363
counter (7a-7d),3.45,15.937299242424242
counter (7a-7d),3.5,15.535681818181818
counter (7a-7d),3.55,15.263625
counter (7a-7d),3.6,15.144848484848492
rho=0.8,1.8,21.735121212121157
rho=0.8,1.85,23.3802803030303
rho=0.8,1.9,25.09302272727273
rho=0.8,1.95,26.906659090909148
rho=0.8,2.0,28.478939393939395
rho=0.8,2.05,30.21114772727268
rho=0.8,2.1,31.894325757575736
rho=0.8,2.15,33.51262121212124
rho=0.8,2.2,35.02372727272733
rho=0.8,2.25,36.38704545454546
rho=0.8,2.3,37.79931818181812
rho=0.8,2.35,39.1440227272727
rho=0.8,2.4,40.34012121212125
rho=0.8,2.45,41.508397727272786
rho=0.8,2.5,42.165909090909096
rho=0.8,2.55,42.77445075757571
rho=0.8,2.6,42.92924242424239
rho=0.8,2.65,43.02179545454548
rho=0.8,2.7,42.72340909090913
rho=0.8,2.75,42.4252462121212
rho=0.8,2.8,41.98663636363632
rho=0.8,2.85,40.89996212121211
rho=0.8,2.9,40.09949999999999
rho=0.8,2.95,39.121386363636404
rho=0.8,3.0,37.657803030303036
rho=0.8,3.05,36.28406060606058
rho=0.8,3.1,35.38288636363637
rho=0.8,3.15,34.228704545454534
rho=0.8,3.2,32.9769090909091
rho=0.8,3.25,31.7625
rho=0.8,3.3,29.875643939393917
rho=0.8,3.35,28.65690530303031
rho=0.8,3.4,27.6465909090909
rho=0.8,3.45,27.26852272727274
rho=0.8,3.5,26.749204545454546
rho=0.8,3.55,26.383068181818167
rho=0.8,3.6,26.318303030303042
