learner,param,profit
UCB1,0.25,37.85049267676769
UCB1,0.5,36.28776654040405
UCB1,1.0,36.07675808080809
LinUCB blind,0.1,40.68980694444447
LinUCB context,0.1,39.92513611111113
LinUCB blind,0.25,40.39595744949498
LinUCB context,0.25,38.9209200757576
LinUCB blind,0.5,38.53556073232325
LinUCB context,0.5,37.55447222222224
LinUCB blind,1.0,37.67496641414143
LinUCB context,1.0,36.8444859848485
