seed,week,loyalty_stock,best_arm,arm_0.80,arm_0.90,arm_1.00,arm_1.10,arm_1.20
0,10,0.4202362596988678,2,-1.4600000000000364,-2.410000000000082,0.0,-5.780000000000086,-13.680000000000064
0,12,0.45936018228530884,1,2.9599999999999795,6.430000000000007,0.0,-12.380000000000052,-38.31000000000017
0,14,0.4602695405483246,2,-4.819999999999993,-1.8799999999999955,0.0,-26.905000000000086,-36.66000000000008
0,16,0.47240352630615234,1,-5.8799999999999955,0.625,0.0,-14.824999999999989,-31.120000000000005
0,18,0.48898768424987793,1,-6.940000000000055,0.09499999999997044,0.0,-8.285000000000025,-20.280000000000086
0,20,0.509772539138794,2,-10.505000000000052,-4.855000000000018,0.0,-22.54500000000013,-43.790000000000134
0,22,0.5056403875350952,2,-11.624999999999943,-4.854999999999961,0.0,-7.490000000000009,-27.675000000000068
0,24,0.5104697346687317,2,-10.70999999999998,-2.615000000000009,0.0,-6.900000000000034,-20.545000000000073
0,26,0.579727292060852,2,-8.060000000000002,-5.710000000000036,0.0,-11.524999999999977,-34.420000000000016
0,28,0.5673538446426392,2,-11.419999999999959,-3.794999999999959,0.0,-3.009999999999991,-7.019999999999982
0,30,0.5509334206581116,2,-7.650000000000091,-1.3500000000000227,0.0,-12.32000000000005,-24.520000000000095
0,32,0.5272821187973022,2,-5.230000000000075,-0.4350000000000591,0.0,-10.465000000000032,-36.66000000000014
0,34,0.5043891668319702,2,-3.7000000000000455,-3.7950000000000728,0.0,-9.875000000000057,-14.150000000000148
0,36,0.49698755145072937,1,-0.5200000000000387,2.744999999999891,0.0,-1.8900000000000432,-11.910000000000082
0,38,0.4568711519241333,1,-2.519999999999982,1.7450000000000045,0.0,-11.525000000000034,-28.940000000000055
0,40,0.4649590849876404,2,-13.010000000000048,-5.975000000000023,0.0,-12.115000000000009,-32.300000000000125
0,42,0.4958898723125458,1,-5.759999999999991,0.6850000000000023,0.0,-18.185000000000002,-30.710000000000093
0,44,0.5311469435691833,2,-8.06000000000006,-5.710000000000036,0.0,-17.86000000000007,-32.24000000000012
0,46,0.5291359424591064,2,-11.180000000000064,-5.3250000000000455,0.0,-27.55500000000012,-53.81000000000023
0,48,0.5311174988746643,1,-5.230000000000018,1.214999999999975,0.0,-30.530000000000143,-37.31000000000017
0,50,0.5310839414596558,2,-7.53000000000003,-1.025000000000034,0.0,-12.645000000000095,-19.160000000000082
0,52,0.5395722389221191,2,-14.660000000000082,-6.505000000000052,0.0,-14.295000000000073,-30.060000000000116
0,54,0.5246134400367737,0,5.140000000000043,-5.180000000000064,0.0,-13.705000000000041,-19.629999999999995
1,10,0.4335235059261322,1,-1.9300000000000068,0.9500000000000455,0.0,-13.500000000000057,-31.770000000000095
1,12,0.4718114733695984,2,-6.470000000000027,-3.2649999999999864,0.0,-3.2749999999999773,-17.980000000000018
1,14,0.4628768265247345,1,-2.579999999999984,2.275000000000034,0.0,-21.955000000000098,-42.0800000000001
1,16,0.45244622230529785,2,-9.529999999999973,-3.6749999999999545,0.0,-15.740000000000066,-23.640000000000043
1,18,0.49984925985336304,1,3.0800000000000978,3.9850000000000136,0.0,-17.065000000000055,-37.780000000000086
1,20,0.4903956353664398,1,-2.6399999999999295,2.805000000000007,0.0,-11.260000000000048,-20.750000000000057
1,22,0.49321794509887695,2,-8.180000000000007,-4.650000000000034,0.0,-11.525000000000091,-17.980000000000075
1,24,0.49874645471572876,2,-7.590000000000032,-4.9150000000000205,0.0,-15.620000000000061,-28.35000000000008
1,26,0.5023943185806274,1,-3.579999999999984,0.9499999999999886,0.0,-8.285000000000082,-10.440000000000055
1,28,0.5226166248321533,2,-4.229999999999961,-1.0249999999999773,0.0,-17.33000000000004,-35.60000000000008
1,30,0.5004662871360779,1,1.8400000000000318,3.925000000000068,0.0,-10.465000000000032,-36.72000000000014
1,32,0.48773643374443054,1,-5.8799999999999955,0.36000000000001364,0.0,-15.944999999999993,-26.82000000000005
1,34,0.49489137530326843,2,-10.830000000000041,-4.590000000000032,0.0,-20.36500000000001,-50.450000000000216
1,36,0.5023139119148254,2,-9.120000000000005,-3.4700000000000273,0.0,-30.79500000000013,-38.37000000000012
1,38,0.5197087526321411,2,-12.360000000000014,-7.564999999999998,0.0,-19.835000000000093,-29.650000000000148
1,40,0.537645161151886,2,-13.480000000000075,-10.60000000000008,0.0,-22.87000000000012,-43.91000000000014
1,42,0.5447083711624146,2,-5.290000000000077,-1.5550000000000637,0.0,-8.815000000000055,-15.86000000000007
1,44,0.5244219303131104,2,-6.880000000000052,-2.3500000000000227,0.0,-9.935000000000002,-9.380000000000052
1,46,0.5450877547264099,1,-3.169999999999959,4.190000000000055,0.0,-22.220000000000027,-34.420000000000016
1,48,0.5249401926994324,1,-0.9899999999999523,0.3000000000000682,0.0,-6.310000000000002,-24.52000000000004
