arm,purchase_rate,premium_share,pair_stability,purchase_rate_paired,premium_share_paired,pair_stability_paired,purchase_rate_lo,purchase_rate_hi,purchase_rate_verdict,premium_share_lo,premium_share_hi,premium_share_verdict,pair_stability_lo,pair_stability_hi,pair_stability_verdict
agent,0.20305814052339238,0.11870417774652647,0.6338705826905542,-0.6214288135967985,0.02487418326140594,0.20599707855978705,-0.6370085931556062,-0.6058490340379907,material,-0.004377393794069928,0.05412576031688181,inconclusive,0.14130348985763477,0.27069066726193936,material
policy,0.7419654386377799,0.10474152599382114,0.4349067285560507,-0.07888418210293441,0.009353819090239173,0.017138339108943905,-0.09033989340544639,-0.06742847080042243,material,0.003205358650453973,0.015502279530024372,equivalent,0.005804148758656513,0.028472529459231295,equivalent
rule,0.810897362310942,0.08490170143230347,0.4460548690329301,0.0,0.0,0.0,0.0,0.0,equivalent,0.0,0.0,equivalent,0.0,0.0,equivalent
