from,to,n,js_one_step,js_free,ratio
0,3,136,0.016923688575804258,0.016748556436702592,0.9896516567108159
3,8,407,0.007561018008025818,0.00798681109720128,1.056314254075773
8,16,522,0.004833817897553223,0.004957485746765593,1.0255838866571634
16,999,546,0.0025804891413808108,0.0024665694814457,0.9558534627763818
