temperature,entropy_bits,intrinsic_noise,capacity,level,level_ok,floor,distance,R,gate,d_offline,d_shadow,amplification,excess,excess_lo,excess_hi,state_drift,drift_streak,behavioural_divergence_pp,purchase_rate_diff,pair_stability_diff,shares_equivalent,shares_material,shares_inconclusive,non_equivalent,n_shares,rho_amplification,rho_state_drift,rho_behavioural_divergence_pp
2.0,0.9793847626707635,0.49288254644987156,32x2,0.4592330347501273,True,0.04522837801502009,0.0452875850680514,0.09188311778180881,True,0.045289291946503746,0.04605988761222412,1.0170149638601242,0.0007705956657203749,0.0007357927261104727,0.000805398605330277,0.002236492008455684,0.005994005994005994,0.16179651660451647,0.0011704545454545505,-0.001309197688082173,6,0,0,none,6,-1.0,-1.0,-0.8857142857142858
1.0,0.9282562351743299,0.4755074208274668,32x2,0.4593847886146028,True,0.08323032531067508,0.08348937144758817,0.17557953417909217,True,0.08336052425545973,0.08890493177722368,1.066511188254683,0.005544407521763954,0.005407802806005613,0.005681012237522296,0.007411643741598047,0.012987012987012988,0.10722821363345429,-0.005825757575757577,0.0024989756850178043,6,0,0,none,6,,,
0.5,0.7596950569389312,0.419545131840458,64x2,0.459893759713949,True,0.12685843540168695,0.12841124318402514,0.30607253770461235,True,0.12862057358204332,0.15255660501263488,1.1860979994411505,0.02393603143059157,0.023412416936922135,0.024459645924261003,0.019709655690924963,0.07492507492507493,0.8399263779615396,0.0004280303030302866,-0.011237133265158758,6,0,0,none,6,,,
0.25,0.4638713238108573,0.3173675119656666,32x2,0.458141090977373,True,0.14772671016369326,0.15016588202424166,0.4731608509458488,True,0.149913530936192,0.20999128893473545,1.4007494028281842,0.06007775799854346,0.059054719983916815,0.0611007960131701,0.049493096709435566,0.1878121878121878,0.5939856452960526,0.008261363636363633,-0.0038686945433960506,6,0,0,none,6,,,
0.1,0.19067545390471977,0.19916291450759574,256x3,0.45931685882199974,True,0.16854360384705183,0.16854360384705183,0.8462599789913391,True,0.1673219317551326,0.2809624667676131,1.6791729800178725,0.11364053501248056,0.11159811657782626,0.11568295344713486,0.08305702876019287,0.3096903096903097,2.475779241218584,-0.01050757575757575,0.008873158085189629,6,0,0,none,6,,,
0.05,0.09293388192054143,0.13883490134281734,256x3,0.4576570338674329,True,0.18307267647317585,0.18307267647317585,1.3186358379808591,True,0.18143828994550104,0.31031469484769986,1.7103043406158076,0.1288764049021988,0.12663501549852357,0.131117794305874,0.08813637850483165,0.32967032967032966,3.7089275885590833,0.004083333333333346,0.017405630763201025,6,0,0,none,6,,,
0.02,0.03606731400520546,0.08653112760836315,256x3 (gate failed),0.4613572113779252,True,0.1916095704609642,0.1916095704609642,2.214342696748185,False,0.18937366324964694,0.3297725558769674,1.741385524354756,0.14039889262732044,0.1377787002085368,0.14301908504610408,0.08701987062671716,0.3126873126873127,1.5404854600830709,0.002712121212121213,0.03606889970914198,6,0,0,none,6,,,
0.01,0.017623319287685128,0.060756954275619224,256x3 (gate failed),0.459517421847217,True,0.19381751496541605,0.19381751496541605,3.190046592628358,False,0.19099677727541306,0.34050695742394443,1.7827890202196504,0.14951018014853137,0.14662115942966647,0.15239920086739628,0.10856442713569604,0.3706293706293706,2.8065108058871506,-0.02920454545454544,0.03286171379895118,6,0,0,none,6,,,
