seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,promotion_active,promotion_seller_id,promotion_seller_class,promotion_discount,visibility_rate_seller_0,visibility_rate_seller_1,visibility_rate_seller_2,visibility_rate_seller_3,visibility_rate_seller_4,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
7,0.71,0.91,230.0,439,89,167,0,78,False,-1,none,0.3,0.8,0.79,0.56,0.79,0.53,0.6285714285714286,1.0,0.0,52,88,0.85,0.8461538461538461,0.15384615384615385,5,19,1.0,0.6,0.4,1,2
7,0.72,0.87,206.0,443,79,156,0,78,False,-1,none,0.3,0.76,0.79,0.46,0.75,0.46,0.7428571428571429,1.0,0.0,46,88,0.65,0.8695652173913043,0.13043478260869565,5,13,0.7,0.5833333333333334,0.4166666666666667,3,1
7,0.76,0.91,214.0,439,100,152,0,87,False,-1,none,0.3,0.81,0.82,0.52,0.77,0.51,0.6857142857142857,1.0,0.0,48,82,0.95,0.8846153846153846,0.11538461538461539,5,15,0.9,0.7058823529411765,0.29411764705882354,0,2
7,0.75,0.92,215.0,438,112,166,0,85,True,4,Shigh,0.3,0.85,0.84,0.6,0.86,0.55,0.7,1.0,0.0,50,98,0.85,0.75,0.25,2,11,0.9,0.7894736842105263,0.21052631578947367,1,4
7,0.62,0.78,188.0,452,116,153,0,68,False,-1,none,0.3,0.8,0.79,0.6,0.74,0.54,0.5714285714285714,1.0,0.0,41,91,0.7,0.8636363636363636,0.13636363636363635,1,18,0.8,0.6875,0.3125,0,2
7,0.72,0.88,205.2,442,75,167,0,70,True,3,Shigh,0.3,0.77,0.76,0.48,0.73,0.56,0.7,1.0,0.0,61,89,0.75,0.68,0.32,6,10,0.8,0.8571428571428571,0.14285714285714285,0,1
7,0.62,0.83,194.0,447,112,157,0,73,False,-1,none,0.3,0.81,0.83,0.58,0.74,0.56,0.6,1.0,0.0,43,95,0.6,0.8181818181818182,0.18181818181818182,3,12,0.8,0.8421052631578947,0.15789473684210525,0,4
7,0.72,0.92,220.0,438,94,184,0,75,False,-1,none,0.3,0.85,0.87,0.59,0.81,0.58,0.6857142857142857,1.0,0.0,52,101,0.8,0.8275862068965517,0.1724137931034483,9,19,0.8,0.7333333333333333,0.26666666666666666,2,1
7,0.66,0.84,196.0,446,90,164,0,67,False,-1,none,0.3,0.75,0.75,0.59,0.71,0.58,0.6142857142857143,1.0,0.0,46,91,0.7,0.95,0.05,3,15,0.9,0.7142857142857143,0.2857142857142857,3,6
7,0.69,0.8,220.0,450,92,174,0,84,False,-1,none,0.3,0.79,0.81,0.54,0.76,0.56,0.6428571428571429,1.0,0.0,53,92,0.75,0.5,0.5,13,13,0.9,0.6470588235294118,0.35294117647058826,1,2
7,0.64,0.82,208.0,448,95,144,0,69,False,-1,none,0.3,0.73,0.74,0.51,0.71,0.52,0.5428571428571428,1.0,0.0,40,74,0.85,0.8333333333333334,0.16666666666666666,7,16,0.9,0.65,0.35,2,5
7,0.71,0.86,216.0,444,91,175,0,58,False,-1,none,0.3,0.77,0.81,0.61,0.76,0.57,0.6857142857142857,1.0,0.0,56,93,0.75,0.7777777777777778,0.2222222222222222,9,14,0.8,0.5454545454545454,0.45454545454545453,0,3
7,0.62,0.77,198.0,453,90,170,0,73,False,-1,none,0.3,0.75,0.78,0.5,0.74,0.6,0.5571428571428572,1.0,0.0,42,93,0.8,0.75,0.25,12,17,0.7,0.6428571428571429,0.35714285714285715,1,5
7,0.7,0.91,218.0,439,103,170,0,71,False,-1,none,0.3,0.83,0.8,0.66,0.78,0.57,0.6714285714285714,1.0,0.0,48,97,0.8,0.8148148148148148,0.18518518518518517,5,14,0.7,0.75,0.25,1,5
7,0.65,0.79,206.0,451,99,159,0,68,False,-1,none,0.3,0.77,0.79,0.51,0.75,0.55,0.6285714285714286,1.0,0.0,44,92,0.65,0.7777777777777778,0.2222222222222222,2,12,0.8,0.5294117647058824,0.47058823529411764,5,4
7,0.66,0.8,188.0,450,94,172,0,79,False,-1,none,0.3,0.79,0.81,0.49,0.82,0.55,0.6428571428571429,1.0,0.0,51,94,0.7,0.8181818181818182,0.18181818181818182,6,18,0.7,0.7692307692307693,0.23076923076923078,2,1
7,0.78,0.9,212.0,440,87,181,0,72,False,-1,none,0.3,0.84,0.81,0.67,0.73,0.53,0.7857142857142857,1.0,0.0,65,94,0.85,0.7916666666666666,0.20833333333333334,7,13,0.6,0.7,0.3,2,0
7,0.68,0.8,196.0,450,96,185,0,69,False,-1,none,0.3,0.82,0.82,0.62,0.8,0.55,0.6714285714285714,1.0,0.0,63,96,0.7,0.7368421052631579,0.2631578947368421,5,15,0.7,0.7142857142857143,0.2857142857142857,1,5
7,0.71,0.84,192.0,446,92,153,0,71,False,-1,none,0.3,0.78,0.78,0.46,0.71,0.56,0.6428571428571429,1.0,0.0,44,86,0.8,0.8888888888888888,0.1111111111111111,5,12,1.0,0.8,0.2,1,5
7,0.72,0.81,186.0,449,96,161,0,77,False,-1,none,0.3,0.82,0.82,0.53,0.75,0.46,0.7571428571428571,1.0,0.0,49,88,0.7,0.8095238095238095,0.19047619047619047,7,16,0.5,0.7142857142857143,0.2857142857142857,0,1
7,0.7,0.91,208.4,439,87,170,0,87,True,2,Slow,0.3,0.81,0.83,0.52,0.8,0.52,0.7142857142857143,1.0,0.0,45,99,0.65,0.7272727272727273,0.2727272727272727,6,14,0.7,0.8125,0.1875,1,5
7,0.76,1.0,260.0,430,80,175,0,75,False,-1,none,0.3,0.82,0.83,0.55,0.81,0.54,0.6714285714285714,1.0,0.0,53,91,0.95,0.78125,0.21875,9,15,1.0,0.6190476190476191,0.38095238095238093,2,5
7,0.66,0.82,196.0,448,94,161,0,68,False,-1,none,0.3,0.77,0.76,0.61,0.73,0.5,0.6285714285714286,1.0,0.0,51,84,0.75,0.7916666666666666,0.20833333333333334,6,15,0.7,0.7692307692307693,0.23076923076923078,0,5
7,0.59,0.68,164.0,462,98,148,0,86,False,-1,none,0.3,0.76,0.78,0.51,0.68,0.41,0.6142857142857143,1.0,0.0,52,80,0.5,0.7333333333333333,0.26666666666666666,4,9,0.6,0.7,0.3,1,2
7,0.69,0.87,222.0,443,88,166,0,59,False,-1,none,0.3,0.78,0.78,0.55,0.76,0.54,0.6,1.0,0.0,48,86,0.9,0.8518518518518519,0.14814814814814814,7,17,0.9,0.5555555555555556,0.4444444444444444,3,5
7,0.72,0.88,224.0,442,86,163,0,83,False,-1,none,0.3,0.78,0.82,0.48,0.79,0.5,0.7,1.0,0.0,51,94,0.7,0.8095238095238095,0.19047619047619047,5,10,0.9,0.5555555555555556,0.4444444444444444,2,1
7,0.77,0.99,246.0,431,75,194,0,67,False,-1,none,0.3,0.83,0.85,0.6,0.84,0.56,0.7285714285714285,1.0,0.0,68,94,0.85,0.68,0.32,8,19,0.9,0.8181818181818182,0.18181818181818182,2,3
7,0.64,0.8,208.0,450,113,164,0,73,False,-1,none,0.3,0.84,0.81,0.58,0.77,0.57,0.5857142857142857,1.0,0.0,51,89,0.7,0.75,0.25,5,15,0.9,0.6111111111111112,0.3888888888888889,3,1
7,0.74,0.94,212.0,436,89,184,0,68,False,-1,none,0.3,0.86,0.83,0.59,0.81,0.58,0.7,1.0,0.0,50,100,0.9,0.8620689655172413,0.13793103448275862,6,23,0.7,0.875,0.125,0,5
7,0.74,0.91,218.0,439,87,173,0,79,False,-1,none,0.3,0.81,0.81,0.53,0.79,0.57,0.7285714285714285,1.0,0.0,52,93,0.75,0.9166666666666666,0.08333333333333333,5,14,0.8,0.5333333333333333,0.4666666666666667,5,4
7,0.74,0.92,208.0,438,89,169,0,75,False,-1,none,0.3,0.83,0.83,0.53,0.77,0.54,0.7142857142857143,1.0,0.0,55,90,0.85,0.875,0.125,3,21,0.7,0.8333333333333334,0.16666666666666666,0,0
7,0.73,0.9,209.99999999999997,440,83,167,0,90,True,1,Slow,0.3,0.78,0.83,0.49,0.79,0.51,0.7142857142857143,1.0,0.0,49,91,0.75,0.5789473684210527,0.42105263157894735,11,12,0.8,0.75,0.25,2,2
8,0.73,0.83,202.0,447,118,181,0,83,False,-1,none,0.3,0.89,0.91,0.59,0.85,0.58,0.6714285714285714,1.0,0.0,56,101,0.85,0.7368421052631579,0.2631578947368421,8,9,0.9,0.75,0.25,4,3
8,0.69,0.8,200.0,450,88,173,0,69,False,-1,none,0.3,0.76,0.75,0.48,0.77,0.65,0.6428571428571429,1.0,0.0,44,96,0.95,0.6923076923076923,0.3076923076923077,14,18,0.5,0.7777777777777778,0.2222222222222222,0,1
8,0.72,0.84,208.0,446,110,159,0,82,False,-1,none,0.3,0.82,0.82,0.56,0.76,0.57,0.7142857142857143,1.0,0.0,45,90,0.75,0.6190476190476191,0.38095238095238093,8,10,0.7,0.8461538461538461,0.15384615384615385,3,3
8,0.69,0.81,190.0,449,112,149,0,78,False,-1,none,0.3,0.8,0.81,0.52,0.77,0.52,0.6571428571428571,1.0,0.0,39,91,0.75,0.75,0.25,6,10,0.8,0.8666666666666667,0.13333333333333333,2,1
8,0.72,0.84,209.79999999999998,446,91,161,0,74,True,2,Slow,0.3,0.79,0.8,0.51,0.73,0.53,0.6714285714285714,1.0,0.0,47,86,0.8,0.6363636363636364,0.36363636363636365,11,8,0.9,0.6428571428571429,0.35714285714285715,3,6
8,0.71,0.83,190.0,447,113,170,0,69,False,-1,none,0.3,0.85,0.82,0.57,0.82,0.6,0.7,1.0,0.0,50,99,0.75,0.8636363636363636,0.13636363636363635,4,14,0.7,0.7272727272727273,0.2727272727272727,0,3
8,0.72,0.88,216.0,442,100,163,0,74,False,-1,none,0.3,0.79,0.79,0.61,0.77,0.55,0.7142857142857143,1.0,0.0,49,89,0.65,0.6875,0.3125,8,11,0.9,0.7727272727272727,0.22727272727272727,2,4
8,0.67,0.89,205.4,441,99,155,0,72,True,4,Shigh,0.3,0.79,0.81,0.54,0.73,0.56,0.6285714285714286,1.0,0.0,50,89,0.75,0.8461538461538461,0.15384615384615385,2,9,0.8,0.6842105263157895,0.3157894736842105,0,5
8,0.68,0.8,196.0,450,93,170,0,67,False,-1,none,0.3,0.8,0.79,0.57,0.73,0.54,0.7142857142857143,1.0,0.0,48,100,0.55,0.6,0.4,9,9,0.7,0.8,0.2,0,4
8,0.74,0.85,202.0,445,101,169,0,90,False,-1,none,0.3,0.83,0.82,0.62,0.81,0.47,0.7,1.0,0.0,51,89,0.8,0.75,0.25,11,11,0.9,0.8125,0.1875,1,6
8,0.66,0.77,186.0,453,95,162,0,86,False,-1,none,0.3,0.8,0.78,0.45,0.78,0.53,0.6428571428571429,1.0,0.0,45,95,0.7,0.85,0.15,4,11,0.7,0.5833333333333334,0.4166666666666667,4,3
8,0.75,0.86,196.0,444,66,179,0,84,False,-1,none,0.3,0.78,0.8,0.46,0.74,0.53,0.7857142857142857,1.0,0.0,59,98,0.7,0.7142857142857143,0.2857142857142857,9,11,0.6,1.0,0.0,0,2
8,0.81,0.97,230.0,433,98,191,0,74,False,-1,none,0.3,0.9,0.88,0.6,0.87,0.61,0.7857142857142857,1.0,0.0,60,101,0.9,0.8076923076923077,0.19230769230769232,4,22,0.8,0.75,0.25,2,2
8,0.66,0.78,192.0,452,115,164,0,68,False,-1,none,0.3,0.81,0.77,0.62,0.78,0.59,0.6428571428571429,1.0,0.0,50,98,0.75,0.6818181818181818,0.3181818181818182,5,8,0.6,0.8181818181818182,0.18181818181818182,3,0
