category,context,test,train,swing
condiments,cheap|display,-0.4378787878787879,-0.3258928571428571,0.11198593073593083
condiments,cheap|feature,-0.3224999999999999,-0.3068181818181818,0.015681818181818075
condiments,cheap|none,-0.15278546712802768,-0.18248025276461294,0.029694785636585258
condiments,dear|feature,-0.10723684210526319,0.007857142857142896,0.11509398496240608
condiments,dear|none,0.15198337292161518,0.15258951738453552,0.0006061444629203439
condiments,mid|display,-0.28590000000000004,-0.2297752808988765,0.056124719101123544
condiments,mid|feature,0.04880000000000001,0.042164948453608186,0.006635051546391824
condiments,mid|none,0.04401433691756276,0.025534313725490226,0.018480023192072537
crackers,cheap|display,0.018008474576271194,0.051741071428571456,0.03373259685230026
crackers,cheap|display+feature,-0.1584466019417476,-0.17447916666666663,0.01603256472491904
crackers,cheap|feature,0.01721756791063722,-0.07318181818181818,0.0903993860924554
crackers,cheap|none,0.027514503944238072,-0.07164740376430531,0.09916190770854338
crackers,dear|display,-0.14581905495938813,-0.015901162790697643,0.12991789216869049
crackers,dear|display+feature,-0.0050000000000000044,-0.1484375,0.1434375
crackers,dear|feature,-0.15195121951219515,-0.14150943396226412,0.010441785549931026
crackers,dear|none,0.06665749211991698,0.08699215843973063,0.02033466631981365
crackers,mid|display,-0.2303184713375796,-0.22250755287009066,0.0078109184674889365
crackers,mid|display+feature,-0.30062500000000003,-0.24132530120481932,0.05929969879518071
crackers,mid|feature,-0.22400000000000003,-0.11571428571428571,0.10828571428571432
crackers,mid|none,-0.00165716847671446,0.03625663154726702,0.03791380002398148
dairy,cheap|feature,-0.14815384615384614,-0.05607692307692308,0.09207692307692306
dairy,cheap|none,0.14315142198308992,0.1369859514687101,0.006165470514379823
dairy,dear|feature,-0.10232558139534881,0.048113207547169634,0.15043878894251844
dairy,dear|none,-0.08929856115107915,-0.02217507815989278,0.06712348299118637
dairy,mid|none,-0.0023922231614539047,-0.11710505836575877,0.11471283520430486
