correction,cell_gap,log_loss
none,0.0870868087428819,1.5449715054189963
global,0.08708844575893945,1.4668101834410128
per-cell,0.10781183239454888,1.7943693454077507
sharpen,0.08792301595799525,2.0096079787386016
