seed,week_number,attendance_rate,purchase_rate,buyer_seller_pair_stability,mean_loyalty_streak,total_revenue,promotion_seller_id,Poor_to_Slow_share,Poor_to_Shigh_share,Middle_to_Slow_share,Middle_to_Shigh_share,Rich_to_Slow_share,Rich_to_Shigh_share
0,0,0.85,0.67,,1.0,206.0,-1,1.0,0.0,0.7391304347826086,0.2608695652173913,0.6428571428571429,0.35714285714285715
0,1,0.84,0.66,0.4,1.2727272727272727,174.30000000000007,-1,1.0,0.0,0.8823529411764706,0.11764705882352941,0.7777777777777778,0.2222222222222222
0,2,0.86,0.71,0.425531914893617,1.408450704225352,196.97999999999996,-1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.7692307692307693,0.23076923076923078
0,3,0.81,0.64,0.4,1.5625,197.71499999999995,-1,1.0,0.0,0.84,0.16,0.6428571428571429,0.35714285714285715
0,4,0.87,0.74,0.3953488372093023,1.554054054054054,205.90631249999998,1,1.0,0.0,0.8636363636363636,0.13636363636363635,0.7368421052631579,0.2631578947368421
0,5,0.85,0.71,0.40384615384615385,1.6901408450704225,227.62109999999998,-1,1.0,0.0,0.7692307692307693,0.23076923076923078,0.6,0.4
0,6,0.78,0.63,0.4318181818181818,1.8095238095238095,174.48900000000006,-1,1.0,0.0,0.9,0.1,0.8333333333333334,0.16666666666666666
0,7,0.82,0.67,0.4186046511627907,1.955223880597015,207.48353193749992,3,1.0,0.0,0.7916666666666666,0.20833333333333334,0.6875,0.3125
0,8,0.9,0.78,0.58,2.269230769230769,232.31085937499995,-1,1.0,0.0,0.9230769230769231,0.07692307692307693,0.6428571428571429,0.35714285714285715
0,9,0.87,0.71,0.39622641509433965,1.9859154929577465,189.10970793749996,-1,1.0,0.0,0.9,0.1,0.8888888888888888,0.1111111111111111
0,10,0.83,0.7,0.4,1.9714285714285715,223.01933928749995,-1,1.0,0.0,0.7222222222222222,0.2777777777777778,0.6470588235294118,0.35294117647058826
0,11,0.84,0.73,0.46296296296296297,1.917808219178082,232.8654465457031,-1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.625,0.375
0,12,0.84,0.69,0.3958333333333333,2.072463768115942,201.1176260680781,-1,1.0,0.0,0.9090909090909091,0.09090909090909091,0.7857142857142857,0.21428571428571427
0,13,0.85,0.63,0.5652173913043478,2.3968253968253967,201.60234224992965,-1,1.0,0.0,0.7368421052631579,0.2631578947368421,0.8,0.2
0,14,0.83,0.69,0.5106382978723404,2.347826086956522,227.00606078429996,-1,1.0,0.0,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.29411764705882354
0,15,0.77,0.67,0.4444444444444444,2.298507462686567,206.7032212372932,-1,1.0,0.0,0.6842105263157895,0.3157894736842105,0.7692307692307693,0.23076923076923078
0,16,0.87,0.73,0.37735849056603776,2.0136986301369864,229.43302068200498,4,1.0,0.0,0.6190476190476191,0.38095238095238093,0.6428571428571429,0.35714285714285715
0,17,0.81,0.66,0.5102040816326531,2.0757575757575757,184.87134580195595,-1,1.0,0.0,0.8888888888888888,0.1111111111111111,0.8,0.2
0,18,0.81,0.68,0.35555555555555557,1.7205882352941178,211.4287428242899,3,1.0,0.0,0.7142857142857143,0.2857142857142857,0.5625,0.4375
0,19,0.82,0.68,0.5111111111111111,2.1470588235294117,198.47118367547031,1,1.0,0.0,0.782608695652174,0.21739130434782608,0.6153846153846154,0.38461538461538464
0,20,0.84,0.65,0.5106382978723404,1.9384615384615385,178.40139819100537,-1,1.0,0.0,0.9375,0.0625,0.6363636363636364,0.36363636363636365
0,21,0.79,0.63,0.4222222222222222,1.8095238095238095,202.89053898447904,-1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.7857142857142857,0.21428571428571427
0,22,0.87,0.67,0.4444444444444444,1.7611940298507462,220.33165759248314,1,1.0,0.0,0.6363636363636364,0.36363636363636365,0.7894736842105263,0.21052631578947367
