seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,promotion_active,promotion_seller_id,promotion_seller_class,promotion_discount,visibility_rate_seller_0,visibility_rate_seller_1,visibility_rate_seller_2,visibility_rate_seller_3,visibility_rate_seller_4,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
0,0.71,0.95,214.2,435,133,169,0,103,True,1,Slow,0.3,0.89,0.97,0.64,0.87,0.6,0.6428571428571429,1.0,0.0,38,103,0.85,0.8518518518518519,0.14814814814814814,5,16,0.9,0.65,0.35,1,6
1,0.78,0.93,199.19999999999996,437,131,199,0,77,True,1,Slow,0.3,0.95,0.96,0.66,0.96,0.7,0.7285714285714285,1.0,0.0,51,116,0.85,0.8333333333333334,0.16666666666666666,9,16,1.0,0.7222222222222222,0.2777777777777778,2,5
2,0.81,0.99,207.79999999999995,431,126,194,0,81,True,1,Slow,0.3,0.95,0.97,0.69,0.87,0.71,0.7857142857142857,1.0,0.0,55,110,0.8,0.8695652173913043,0.13043478260869565,6,16,1.0,0.75,0.25,2,5
3,0.78,0.92,208.2,438,130,178,0,100,True,1,Slow,0.3,0.94,0.93,0.63,0.89,0.61,0.7285714285714285,1.0,0.0,49,101,0.85,0.8,0.2,7,17,1.0,0.625,0.375,0,4
4,0.76,0.95,224.59999999999997,435,138,180,0,87,True,1,Slow,0.3,0.94,0.95,0.7,0.88,0.66,0.6857142857142857,1.0,0.0,42,109,0.95,0.7037037037037037,0.2962962962962963,10,12,0.9,0.7222222222222222,0.2777777777777778,1,6
5,0.82,0.96,221.39999999999998,434,116,200,0,88,True,1,Slow,0.3,0.89,0.94,0.67,0.91,0.71,0.7857142857142857,1.0,0.0,54,110,0.85,0.6818181818181818,0.3181818181818182,11,19,1.0,0.7222222222222222,0.2777777777777778,0,6
6,0.77,0.91,228.59999999999997,439,132,183,0,94,True,1,Slow,0.3,0.95,0.94,0.62,0.89,0.66,0.7571428571428571,1.0,0.0,49,105,0.75,0.5882352941176471,0.4117647058823529,11,12,0.9,0.55,0.45,3,3
7,0.78,0.98,211.59999999999997,432,119,197,0,86,True,1,Slow,0.3,0.97,0.96,0.65,0.91,0.65,0.7142857142857143,1.0,0.0,58,105,0.95,0.7857142857142857,0.21428571428571427,5,21,0.9,0.8235294117647058,0.17647058823529413,1,7
8,0.74,0.93,205.79999999999998,437,127,186,0,94,True,1,Slow,0.3,0.94,0.98,0.62,0.88,0.64,0.6428571428571429,1.0,0.0,45,107,1.0,0.8387096774193549,0.16129032258064516,12,19,0.9,0.7333333333333333,0.26666666666666666,1,2
9,0.74,0.94,222.59999999999997,436,136,198,0,72,True,1,Slow,0.3,0.97,0.95,0.68,0.94,0.74,0.6571428571428571,1.0,0.0,56,119,0.9,0.7586206896551724,0.2413793103448276,6,13,1.0,0.6470588235294118,0.35294117647058826,0,4
10,0.8,0.99,223.19999999999996,431,118,200,0,83,True,1,Slow,0.3,0.95,0.99,0.66,0.9,0.67,0.7571428571428571,1.0,0.0,60,106,0.9,0.7692307692307693,0.23076923076923078,9,19,0.9,0.6666666666666666,0.3333333333333333,3,3
11,0.75,0.86,197.99999999999997,444,141,177,0,96,True,1,Slow,0.3,0.96,0.94,0.63,0.91,0.6,0.7142857142857143,1.0,0.0,49,109,0.85,0.6956521739130435,0.30434782608695654,6,11,0.8,0.6363636363636364,0.36363636363636365,0,2
12,0.76,0.89,202.2,441,135,188,0,88,True,1,Slow,0.3,0.93,0.91,0.68,0.9,0.7,0.7714285714285715,1.0,0.0,49,117,0.7,0.631578947368421,0.3684210526315789,11,10,0.8,0.7142857142857143,0.2857142857142857,1,0
13,0.73,0.86,181.39999999999998,444,144,191,0,79,True,1,Slow,0.3,0.98,0.94,0.69,0.93,0.67,0.7428571428571429,1.0,0.0,50,110,0.6,0.7857142857142857,0.21428571428571427,6,19,0.9,0.8,0.2,2,4
14,0.75,0.93,205.39999999999998,437,132,182,0,93,True,1,Slow,0.3,0.95,0.97,0.66,0.86,0.63,0.6857142857142857,1.0,0.0,45,103,0.95,0.7931034482758621,0.20689655172413793,12,20,0.8,0.6666666666666666,0.3333333333333333,1,1
15,0.75,0.93,196.99999999999997,437,140,179,0,88,True,1,Slow,0.3,0.96,0.95,0.63,0.92,0.66,0.6571428571428571,1.0,0.0,39,110,0.95,0.88,0.12,9,18,1.0,0.7058823529411765,0.29411764705882354,0,3
16,0.71,0.92,197.79999999999995,438,128,192,0,88,True,1,Slow,0.3,0.95,0.94,0.6,0.95,0.68,0.6428571428571429,1.0,0.0,47,113,0.8,0.8461538461538461,0.15384615384615385,7,20,1.0,0.75,0.25,2,3
17,0.82,0.97,221.39999999999998,433,118,197,0,88,True,1,Slow,0.3,0.93,0.98,0.58,0.93,0.7,0.7857142857142857,1.0,0.0,47,116,0.9,0.6818181818181818,0.3181818181818182,14,14,0.9,0.6666666666666666,0.3333333333333333,1,5
18,0.7,0.86,185.99999999999997,444,129,181,0,104,True,1,Slow,0.3,0.94,0.94,0.6,0.83,0.65,0.6571428571428571,1.0,0.0,50,105,0.75,0.8095238095238095,0.19047619047619047,7,17,0.9,0.7333333333333333,0.26666666666666666,0,2
19,0.78,0.96,203.59999999999997,434,128,187,0,89,True,1,Slow,0.3,0.97,0.96,0.61,0.89,0.68,0.7142857142857143,1.0,0.0,46,112,0.9,0.8695652173913043,0.13043478260869565,6,18,1.0,0.75,0.25,2,3
20,0.75,0.97,237.59999999999997,433,128,188,0,87,True,1,Slow,0.3,0.94,0.95,0.68,0.9,0.66,0.6714285714285714,1.0,0.0,46,101,0.9,0.72,0.28,11,19,1.0,0.5714285714285714,0.42857142857142855,4,7
21,0.76,0.92,220.39999999999998,438,135,198,0,75,True,1,Slow,0.3,0.96,0.96,0.75,0.91,0.67,0.7285714285714285,1.0,0.0,62,105,0.8,0.6956521739130435,0.30434782608695654,9,15,0.9,0.6666666666666666,0.3333333333333333,2,5
22,0.75,0.93,213.79999999999998,437,126,190,0,91,True,1,Slow,0.3,0.94,0.92,0.65,0.96,0.62,0.7285714285714285,1.0,0.0,53,108,0.8,0.7916666666666666,0.20833333333333334,7,17,0.8,0.6470588235294118,0.35294117647058826,2,3
23,0.8,1.03,223.79999999999995,427,124,183,0,90,True,1,Slow,0.3,0.97,0.98,0.65,0.92,0.58,0.7714285714285715,1.0,0.0,53,107,0.8,0.8148148148148148,0.18518518518518517,7,12,1.0,0.7058823529411765,0.29411764705882354,1,3
24,0.75,0.94,224.2,436,128,190,0,88,True,1,Slow,0.3,0.95,0.97,0.6,0.89,0.71,0.7,1.0,0.0,50,111,0.85,0.7307692307692307,0.2692307692307692,10,13,0.9,0.6111111111111112,0.3888888888888889,2,4
25,0.75,0.87,183.99999999999997,443,138,181,0,94,True,1,Slow,0.3,0.97,0.88,0.62,0.91,0.68,0.7,1.0,0.0,45,113,0.8,0.8260869565217391,0.17391304347826086,5,15,1.0,0.8,0.2,0,3
26,0.75,0.98,210.99999999999997,432,129,188,0,85,True,1,Slow,0.3,0.98,0.95,0.62,0.9,0.7,0.6857142857142857,1.0,0.0,45,117,0.85,0.8666666666666667,0.13333333333333333,3,16,1.0,0.75,0.25,2,5
27,0.76,0.96,209.19999999999996,434,121,199,0,84,True,1,Slow,0.3,0.94,0.94,0.68,0.95,0.65,0.6714285714285714,1.0,0.0,55,114,0.95,0.7692307692307693,0.23076923076923078,11,14,1.0,0.8095238095238095,0.19047619047619047,0,5
28,0.76,0.97,211.39999999999998,433,118,188,0,97,True,1,Slow,0.3,0.93,0.94,0.62,0.9,0.64,0.7285714285714285,1.0,0.0,54,110,0.8,0.8,0.2,9,11,0.9,0.7647058823529411,0.23529411764705882,0,4
