seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,promotion_active,promotion_seller_id,promotion_seller_class,promotion_discount,visibility_rate_seller_0,visibility_rate_seller_1,visibility_rate_seller_2,visibility_rate_seller_3,visibility_rate_seller_4,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
0,0.72,0.95,217.79999999999998,435,133,169,0,103,True,0,Slow,0.3,0.89,0.97,0.64,0.87,0.6,0.6571428571428571,1.0,0.0,38,103,0.85,0.8518518518518519,0.14814814814814814,5,16,0.9,0.65,0.35,1,6
1,0.76,0.89,214.0,441,133,201,0,77,False,-1,none,0.3,0.95,0.96,0.66,0.96,0.7,0.7,1.0,0.0,53,116,0.85,0.8260869565217391,0.17391304347826086,9,16,1.0,0.7058823529411765,0.29411764705882354,2,5
2,0.78,0.94,220.0,436,127,198,0,81,False,-1,none,0.3,0.95,0.97,0.69,0.87,0.71,0.7571428571428571,1.0,0.0,55,110,0.75,0.8636363636363636,0.13636363636363635,7,17,1.0,0.7368421052631579,0.2631578947368421,3,6
3,0.77,0.9,224.0,440,132,178,0,100,False,-1,none,0.3,0.94,0.93,0.63,0.89,0.61,0.7142857142857143,1.0,0.0,48,101,0.85,0.7916666666666666,0.20833333333333334,8,17,1.0,0.625,0.375,0,4
4,0.75,0.91,234.0,439,138,184,0,87,False,-1,none,0.3,0.94,0.95,0.7,0.88,0.66,0.6857142857142857,1.0,0.0,46,109,0.9,0.68,0.32,12,10,0.9,0.7222222222222222,0.2777777777777778,1,6
5,0.8,0.91,226.0,439,121,200,0,88,False,-1,none,0.3,0.89,0.94,0.67,0.91,0.71,0.7571428571428571,1.0,0.0,52,110,0.85,0.6666666666666666,0.3333333333333333,12,19,1.0,0.7647058823529411,0.23529411764705882,0,7
6,0.77,0.89,242.0,441,127,190,0,94,False,-1,none,0.3,0.95,0.94,0.62,0.89,0.66,0.7571428571428571,1.0,0.0,53,105,0.75,0.5882352941176471,0.4117647058823529,13,12,0.9,0.5263157894736842,0.47368421052631576,4,3
7,0.77,0.95,227.6,435,127,192,0,86,True,4,Shigh,0.3,0.97,0.96,0.65,0.91,0.65,0.7,1.0,0.0,58,105,0.95,0.6551724137931034,0.3448275862068966,9,15,0.9,0.8235294117647058,0.17647058823529413,1,4
8,0.73,0.9,216.0,440,128,188,0,94,False,-1,none,0.3,0.94,0.98,0.62,0.88,0.64,0.6285714285714286,1.0,0.0,46,107,1.0,0.8387096774193549,0.16129032258064516,12,19,0.9,0.7333333333333333,0.26666666666666666,2,2
9,0.74,0.89,226.0,441,136,203,0,72,False,-1,none,0.3,0.97,0.95,0.68,0.94,0.74,0.6571428571428571,1.0,0.0,58,119,0.9,0.7777777777777778,0.2222222222222222,7,14,1.0,0.625,0.375,1,4
