seed,flat,scheduled
0,43.62840909090912,44.51386363636367
1,43.775000000000034,45.13196969696974
2,44.65272727272731,45.275757575757616
3,43.33727272727276,44.035151515151554
4,42.276590909090935,43.06733333333336
5,44.11204545454549,44.84171212121216
6,48.758181818181875,48.68958333333339
7,38.2284090909091,40.6187878787879
8,45.319090909090946,46.45196969696973
9,40.089772727272745,42.063560606060626
10,42.75250000000002,43.13083333333336
11,44.83181818181822,46.225962121212156
12,41.17954545454548,43.71295454545458
13,41.87159090909093,44.53621212121215
14,40.600000000000016,41.772500000000015
15,40.25954545454547,42.01862878787881
16,46.76886363636368,47.78950757575762
17,43.6552272727273,45.40015151515155
18,44.096590909090935,45.71651515151519
19,43.38704545454549,43.60825757575761
20,46.97659090909095,47.09030303030307
21,40.870000000000026,41.87405303030306
22,43.67477272727276,44.78774242424247
23,44.135000000000026,44.58924242424246
24,41.7502272727273,43.8974166666667
25,41.59704545454548,42.37658333333336
26,47.281818181818224,48.85977272727278
27,40.45204545454548,41.395598484848506
28,41.435227272727296,42.32362121212124
29,43.6836363636364,43.68139393939398
