delta,schedule,family,flat,scheduled,gain_pct,ci_lo_pct,ci_hi_pct
0.0,invest 8wk @0.80x -> 1.00x,one-shot,43.31423863636367,42.36000353535357,-2.2030517701608447,-2.3698001810449836,-2.036303359276706
0.0,invest 8wk @0.80x -> 1.10x,one-shot,43.31423863636367,39.68313598484851,-8.383161671152479,-9.26709006874543,-7.499233273559525
0.0,invest 8wk @0.80x -> 1.20x,one-shot,43.31423863636367,33.67912878787879,-22.244670925361465,-23.584645598697225,-20.904696252025705
0.0,invest 8wk @0.90x -> 1.00x,one-shot,43.31423863636367,43.09703143939397,-0.5014683480719104,-0.644627691559707,-0.3583090045841137
0.0,invest 8wk @0.90x -> 1.10x,one-shot,43.31423863636367,40.418023989899005,-6.68651865447587,-7.556684208121577,-5.816353100830164
0.0,invest 8wk @0.90x -> 1.20x,one-shot,43.31423863636367,34.42840012626263,-20.51482096845883,-21.848781132270517,-19.18086080464715
0.0,invest 16wk @0.80x -> 1.00x,one-shot,43.31423863636367,41.14166515151518,-5.0158413335806475,-5.282640893876545,-4.74904177328475
0.0,invest 16wk @0.80x -> 1.10x,one-shot,43.31423863636367,38.869366540404066,-10.261919026848577,-11.077851403222853,-9.445986650474303
0.0,invest 16wk @0.80x -> 1.20x,one-shot,43.31423863636367,33.641126262626265,-22.33240772150272,-23.532251839536798,-21.132563603468643
0.0,invest 16wk @0.90x -> 1.00x,one-shot,43.31423863636367,42.777505555555564,-1.239160834186934,-1.456179854732974,-1.022141813640894
0.0,invest 16wk @0.90x -> 1.10x,one-shot,43.31423863636367,40.49667020202022,-6.504947386926946,-7.307834530770954,-5.702060243082937
0.0,invest 16wk @0.90x -> 1.20x,one-shot,43.31423863636367,35.3007143939394,-18.50090061538484,-19.670983224489277,-17.330818006280403
0.0,cycle 2wk @0.80x / 2wk @1.10x,cyclic,43.31423863636367,34.832633080808094,-19.581564452191476,-20.329098990882212,-18.834029913500732
0.0,cycle 2wk @0.80x / 2wk @1.20x,cyclic,43.31423863636367,30.584283333333328,-29.38977043992905,-30.522230130183054,-28.257310749675042
0.0,cycle 2wk @0.90x / 2wk @1.10x,cyclic,43.31423863636367,38.47823926767679,-11.164918329250993,-11.894879958647426,-10.434956699854563
0.0,cycle 2wk @0.90x / 2wk @1.20x,cyclic,43.31423863636367,34.00757929292929,-21.48637408028024,-22.59375059355366,-20.378997567006817
0.0,cycle 2wk @0.80x / 4wk @1.10x,cyclic,43.31423863636367,36.47600265151516,-15.787501293183496,-16.61475616490582,-14.960246421461173
0.0,cycle 2wk @0.80x / 4wk @1.20x,cyclic,43.31423863636367,31.235955050505048,-27.88524966872791,-29.046857285620725,-26.72364205183509
0.0,cycle 2wk @0.90x / 4wk @1.10x,cyclic,43.31423863636367,38.75720631313132,-10.52086442402929,-11.335350982272423,-9.706377865786157
0.0,cycle 2wk @0.90x / 4wk @1.20x,cyclic,43.31423863636367,33.301753535353534,-23.115920806245757,-24.27755659188123,-21.95428502061029
0.0,cycle 2wk @0.80x / 8wk @1.10x,cyclic,43.31423863636367,37.742726388888904,-12.86300399794468,-13.70748950472686,-12.0185184911625
0.0,cycle 2wk @0.80x / 8wk @1.20x,cyclic,43.31423863636367,31.900594949494952,-26.350789131236397,-27.67657632760744,-25.025001934865355
0.0,cycle 2wk @0.90x / 8wk @1.10x,cyclic,43.31423863636367,39.20013914141416,-9.498261136455918,-10.346977601886941,-8.649544671024891
0.0,cycle 2wk @0.90x / 8wk @1.20x,cyclic,43.31423863636367,33.238200126262626,-23.262647174044712,-24.576514866836234,-21.94877948125319
0.0,cycle 4wk @0.80x / 2wk @1.10x,cyclic,43.31423863636367,33.778154166666674,-22.01605007941002,-22.748085931396556,-21.284014227423487
0.0,cycle 4wk @0.80x / 2wk @1.20x,cyclic,43.31423863636367,30.70632626262626,-29.108008753391,-30.075011246571197,-28.141006260210805
0.0,cycle 4wk @0.90x / 2wk @1.10x,cyclic,43.31423863636367,38.610278030303036,-10.860079166003159,-11.483810529354434,-10.236347802651885
