seed,buyer_id,buyer_class,n_purchases,total_spent,budget_remaining
1,51,Homogeneous,1,3.0,2.0
1,52,Homogeneous,1,3.0,2.0
1,53,Homogeneous,1,3.0,2.0
1,54,Homogeneous,1,3.0,2.0
1,55,Homogeneous,0,0.0,5.0
1,56,Homogeneous,0,0.0,5.0
1,57,Homogeneous,1,3.0,2.0
1,58,Homogeneous,0,0.0,5.0
1,59,Homogeneous,0,0.0,5.0
1,60,Homogeneous,0,0.0,5.0
1,61,Homogeneous,0,0.0,5.0
1,62,Homogeneous,1,3.0,2.0
1,63,Homogeneous,0,0.0,5.0
1,64,Homogeneous,0,0.0,5.0
1,65,Homogeneous,1,3.0,2.0
1,66,Homogeneous,0,0.0,5.0
1,67,Homogeneous,0,0.0,5.0
1,68,Homogeneous,1,3.0,2.0
1,69,Homogeneous,0,0.0,5.0
1,70,Homogeneous,1,3.0,2.0
1,71,Homogeneous,0,0.0,5.0
1,72,Homogeneous,1,3.0,2.0
1,73,Homogeneous,1,3.0,2.0
1,74,Homogeneous,0,0.0,5.0
1,75,Homogeneous,1,3.0,2.0
1,76,Homogeneous,0,0.0,5.0
1,77,Homogeneous,1,3.0,2.0
1,78,Homogeneous,1,3.0,2.0
1,79,Homogeneous,0,0.0,5.0
2,0,Homogeneous,0,0.0,5.0
2,1,Homogeneous,1,3.0,2.0
2,2,Homogeneous,1,3.0,2.0
2,3,Homogeneous,1,3.0,2.0
2,4,Homogeneous,1,3.0,2.0
2,5,Homogeneous,1,3.0,2.0
2,6,Homogeneous,1,3.0,2.0
2,7,Homogeneous,0,0.0,5.0
2,8,Homogeneous,0,0.0,5.0
2,9,Homogeneous,1,3.0,2.0
2,10,Homogeneous,1,3.0,2.0
2,11,Homogeneous,1,3.0,2.0
2,12,Homogeneous,1,3.0,2.0
2,13,Homogeneous,1,3.0,2.0
2,14,Homogeneous,1,3.0,2.0
2,15,Homogeneous,1,3.0,2.0
2,16,Homogeneous,1,3.0,2.0
2,17,Homogeneous,1,3.0,2.0
2,18,Homogeneous,1,3.0,2.0
2,19,Homogeneous,1,3.0,2.0
2,20,Homogeneous,1,3.0,2.0
2,21,Homogeneous,0,0.0,5.0
2,22,Homogeneous,0,0.0,5.0
2,23,Homogeneous,1,3.0,2.0
2,24,Homogeneous,1,3.0,2.0
2,25,Homogeneous,1,3.0,2.0
2,26,Homogeneous,1,3.0,2.0
2,27,Homogeneous,1,3.0,2.0
2,28,Homogeneous,1,3.0,2.0
2,29,Homogeneous,1,3.0,2.0
2,30,Homogeneous,0,0.0,5.0
2,31,Homogeneous,1,3.0,2.0
2,32,Homogeneous,1,3.0,2.0
2,33,Homogeneous,1,3.0,2.0
2,34,Homogeneous,1,3.0,2.0
2,35,Homogeneous,0,0.0,5.0
2,36,Homogeneous,1,3.0,2.0
2,37,Homogeneous,1,3.0,2.0
2,38,Homogeneous,1,3.0,2.0
2,39,Homogeneous,0,0.0,5.0
2,40,Homogeneous,1,3.0,2.0
2,41,Homogeneous,1,3.0,2.0
2,42,Homogeneous,0,0.0,5.0
2,43,Homogeneous,0,0.0,5.0
2,44,Homogeneous,1,3.0,2.0
2,45,Homogeneous,0,0.0,5.0
2,46,Homogeneous,0,0.0,5.0
2,47,Homogeneous,1,3.0,2.0
2,48,Homogeneous,1,3.0,2.0
2,49,Homogeneous,1,3.0,2.0
2,50,Homogeneous,1,3.0,2.0
2,51,Homogeneous,1,3.0,2.0
2,52,Homogeneous,1,3.0,2.0
2,53,Homogeneous,1,3.0,2.0
2,54,Homogeneous,1,3.0,2.0
2,55,Homogeneous,1,3.0,2.0
2,56,Homogeneous,1,3.0,2.0
2,57,Homogeneous,1,3.0,2.0
