lag,n,observed,memoryless,lower,upper,lower_se,lower_ci_lo,lower_ci_hi,upper_se,upper_ci_lo,upper_ci_hi,vs_lag1,vs_lag1_ci_lo,vs_lag1_ci_hi,decay_ratio,decay_ratio_ci_lo,decay_ratio_ci_hi,n_boot,split
1,1613,0.7861128332300062,0.7392334342002869,0.04687939902971938,0.38121942003487586,0.010473243569882674,0.028013553117849952,0.07062931415604295,0.025753589062183033,0.3262982891544367,0.42234075300782525,0.0,0.0,0.0,0.25506408044297063,-0.2730772489313975,0.5914337792096624,300,contiguous
2,1613,0.7724736515809052,0.7424005270004272,0.03007312458047795,0.3675802383857748,0.010429596577593717,0.008891674808116961,0.05127851130515316,0.027465102924348384,0.3073514044132427,0.41165930014982377,-0.016806274449241432,-0.030624351816235566,-0.002992998542316489,0.25506408044297063,-0.2730772489313975,0.5914337792096624,300,contiguous
4,1613,0.7644141351518909,0.7448776364326477,0.019536498719243234,0.35952072195676055,0.010569410828407197,-0.0010224365725860411,0.04146995727141661,0.02756799329061359,0.30429018848033523,0.4067744039521283,-0.027342900310476148,-0.04623370624860665,-0.011124854562333163,0.25506408044297063,-0.2730772489313975,0.5914337792096624,300,contiguous
8,1602,0.7615480649188514,0.7495908141136169,0.011957250805234465,0.356654651723721,0.01091927997886603,-0.009541737358331156,0.030947521115240732,0.027043257894129563,0.2935268083991209,0.40215021037081433,-0.03492214822448492,-0.05467055446044667,-0.017851541962949097,0.25506408044297063,-0.2730772489313975,0.5914337792096624,300,contiguous
