cell,rho,gamma,lag_1,lag_2,lag_4,lag_8,lag_16
rho=0.50,0.5,1.5,0.10049600435611798,0.06951917721374883,0.03322929325918024,0.016725827704782936,0.014063445284796366
rho=0.80,0.8,1.5,0.05308417733799908,0.048972121247150495,0.03550661475876502,0.02485746782073586,0.017934996226764435
rho=0.95,0.95,1.5,0.025081863267057792,0.02684804352501136,0.02089576664967288,0.01996052336975715,0.018984935898197147
M1 streak,,,0.11765888469975999,0.07983687121685985,0.03985053776723009,0.01858518624425878,0.01388719200860731
