lag,n,observed,memoryless,lower,upper,split
1,1613,0.7861128332300062,0.7392334342002869,0.04687939902971938,0.38121942003487586,contiguous
2,1613,0.7724736515809052,0.7424005270004272,0.03007312458047795,0.3675802383857748,contiguous
4,1613,0.7644141351518909,0.7448776364326477,0.019536498719243234,0.35952072195676055,contiguous
8,1602,0.7615480649188514,0.7495908141136169,0.011957250805234465,0.356654651723721,contiguous
1,1611,0.7641216635630044,0.7432093024253845,0.02091236113761985,0.359228250367874,alternating
2,1475,0.775593220338983,0.7380970120429993,0.03749620829598377,0.37069980714385264,alternating
4,1340,0.7694029850746269,0.7342814207077026,0.03512156436692426,0.3645095718794965,alternating
8,1068,0.7621722846441947,0.7342216968536377,0.027950587790557035,0.35727887144906434,alternating
