cell,rho,gamma,lag_1,lag_2,lag_4,lag_8,decay_ratio,admissible_every_lag
loyaltyv2_r050_g075,0.5,0.75,0.052532542430238395,0.0346172102356348,0.01584652921606044,0.009292923525865908,0.17689841564791245,False
loyaltyv2_r050_g150,0.5,1.5,0.09711914124310148,0.06650563064320449,0.03457014911515393,0.017587484658857795,0.18109184691856056,False
loyaltyv2_r050_g300,0.5,3.0,0.1560788016033844,0.11524971899877771,0.07052065500715095,0.03243666191090034,0.20782234087961493,True
loyaltyv2_r080_g075,0.8,0.75,0.02528334893505591,0.02408442305069176,0.019322280156580197,0.01169799934881023,0.46267602360977983,False
loyaltyv2_r080_g150,0.8,1.5,0.049431410200885824,0.04719449596518486,0.03854499801597571,0.027543884807663146,0.5572142226112244,False
loyaltyv2_r080_g300,0.8,3.0,0.08756337430678456,0.08137040092804788,0.07094411514578168,0.051696132444406274,0.5903853392319621,True
loyaltyv2_r095_g075,0.95,0.75,0.011194866411046377,0.012845424493845388,0.010320894375299679,0.009275834548307875,0.8285792976640682,False
loyaltyv2_r095_g150,0.95,1.5,0.02279252010107195,0.025764372335743174,0.024149324409663338,0.022778618166152058,0.9993900659138066,False
loyaltyv2_r095_g300,0.95,3.0,0.04175278521831645,0.04290895667865768,0.04244848090439933,0.03881851465145232,0.9297227585771476,True
