cell,delta,contrast_raw,contrast_raw_se,contrast,std_error,ceiling
hpromo_d-025,-0.25,-0.03543423477142196,0.01412405189352238,-0.020509011032936637,0.009820279588268773,1.5
hpromo_d+000,0.0,-0.0248530267558547,0.014479617645004795,-0.009927803017369369,0.01057838622891755,1.5
hpromo_d+025,0.25,-0.01636858326720192,0.015546504220720268,-0.0014433595287165924,0.01141897432887245,1.875
