cell,tau,rho,gamma,primary,entropy_bits,intrinsic_noise,distance,R,capacity,gate,d_offline,d_shadow,amplification,excess,excess_lo,excess_hi
loyaltyv2_r050_g075,1.0,0.5,0.75,True,0.9452020720480045,0.4811816260494018,0.088157853956625,0.1832111809430854,256x3 (failed),False,0.08837205175655627,0.09516978894528079,1.0769217988448503,0.006797737188724529,0.006367584339972183,0.007227890037476875
loyaltyv2_r050_g150,1.0,0.5,1.5,True,0.9157096559547048,0.47117152112435096,0.09781626979312734,0.2076022539726288,64x2,True,0.09814656502725481,0.10084996083492667,1.0275444770473743,0.0027033958076718477,0.0022503523554608445,0.003156439259882851
loyaltyv2_r050_g300,1.0,0.5,3.0,True,0.8166069755483799,0.437643782986394,0.1246157966981585,0.2847425270109063,64x2,True,0.12481823210807556,0.11745082115222545,0.940974881382145,-0.007367410955850125,-0.007907747183830666,-0.006827074727869584
loyaltyv2_r080_g075,1.0,0.8,0.75,True,0.9492406226568908,0.482554386071692,0.08791084880041532,0.18217811574787884,128x3 (failed),False,0.08830636150137351,0.09420220506735809,1.0667657852248036,0.005895843565984558,0.0054245591008833405,0.006367128031085776
loyaltyv2_r080_g150,1.0,0.8,1.5,True,0.9306600494735963,0.47624804199845433,0.09515710985577107,0.1998057765370926,64x2,True,0.09586816135284788,0.0967448179234768,1.0091443974543575,0.0008766565706288948,0.0003202684870183775,0.001433044654239412
loyaltyv2_r080_g300,1.0,0.8,3.0,True,0.8661084965229928,0.4544844875531513,0.11571515162092387,0.2546074834014905,64x2,True,0.116317103115419,0.106554724961087,0.9160709999401808,-0.00976237815433197,-0.01045256522206958,-0.009072191086594359
loyaltyv2_r095_g075,1.0,0.95,0.75,False,0.952918610945955,0.48380661497445737,0.08725300485694551,0.1803468620650258,256x3 (failed),False,0.08764112170317898,0.09368079982031548,1.0689137473341743,0.006039678117136468,0.005614871638585094,0.0064644845956878414
loyaltyv2_r095_g150,1.0,0.95,1.5,False,0.9422420521551961,0.48017775339634355,0.09182648642439617,0.19123436222294468,64x2 (failed),False,0.0925422588520009,0.09440086319077098,1.0200838445249372,0.0018586043387700932,0.0013709824881201376,0.0023462261894200485
loyaltyv2_r095_g300,1.0,0.95,3.0,False,0.9095697052972614,0.4691655547557975,0.10335810304364658,0.22030198507954163,64x2,True,0.10437954529187271,0.09821299231927945,0.9409218256761902,-0.006166552972593257,-0.006771353868486271,-0.005561752076700244
loyaltyv2_r050_g075,0.5,0.5,0.75,True,0.8073616120894854,0.43461213495198564,0.1445367504676499,0.3325649213260412,256x3,True,0.14517963994507052,0.17521049902113628,1.2068531034202048,0.03003085907606576,0.028776536220495082,0.031285181931636444
loyaltyv2_r050_g150,0.5,0.5,1.5,True,0.7085316556917232,0.4011507125340294,0.15680541259130945,0.39088902921494306,128x3,True,0.15751332067666776,0.17087487284884625,1.084828077490704,0.013361552172178503,0.011994619098079284,0.014728485246277722
loyaltyv2_r050_g300,0.5,0.5,3.0,True,0.4997611697870002,0.32694020867151113,0.16844423951413628,0.5152142044522227,256x3,True,0.16903064587626052,0.16431464687988337,0.972099739831619,-0.004715998996377136,-0.005809205881176087,-0.0036227921115781847
loyaltyv2_r080_g075,0.5,0.8,0.75,True,0.8184395698929762,0.4383084428652846,0.14716650712365137,0.33576014680804,64x2,True,0.14809019937158066,0.17647309605795727,1.191659521067695,0.028382896686376606,0.02706617881038232,0.029699614562370892
loyaltyv2_r080_g150,0.5,0.8,1.5,True,0.7393712479678577,0.41158316429519953,0.15635894770519293,0.37989636425713397,64x2,True,0.15700068748515258,0.1730579301758937,1.1022749833006917,0.01605724269074109,0.014516962318432856,0.01759752306304932
loyaltyv2_r080_g300,0.5,0.8,3.0,True,0.5386948523024099,0.34084480596584893,0.16124670121856396,0.473079531787614,256x3 (failed),False,0.1623106877998904,0.1652370688277802,1.018029502970856,0.002926381027889773,0.0012887227465636158,0.00456403930921593
loyaltyv2_r095_g075,0.5,0.95,0.75,False,0.83435771082978,0.44367984575723435,0.14703797256900758,0.331405570875224,64x2 (failed),False,0.14794906126653126,0.17789350558471742,1.202396987597245,0.029944444318186162,0.028408846814269445,0.03148004182210288
loyaltyv2_r095_g150,0.5,0.95,1.5,False,0.7861788457577148,0.4275608618280317,0.15394524402476134,0.3600545741407905,256x3,True,0.15484967082570106,0.17761490874832636,1.147015087608742,0.02276523792262525,0.020993006346954467,0.024537469498296036
loyaltyv2_r095_g300,0.5,0.95,3.0,False,0.6664657195236353,0.38729739847055344,0.1654170259692652,0.42710595687577796,256x3,True,0.16661350593926408,0.1738934669643104,1.0436937028844475,0.0072799610250463475,0.00523042117354792,0.009329500876544775
