cell,rho,gamma,state_dependence,std_error,admissible
loyaltyv2_r050_g075,0.5,0.75,0.052532542430238395,0.0014800871921957781,True
loyaltyv2_r050_g150,0.5,1.5,0.09711914124310148,0.0017652511336556662,True
loyaltyv2_r050_g300,0.5,3.0,0.1560788016033844,0.0020494963848153675,True
loyaltyv2_r080_g075,0.8,0.75,0.02528334893505591,0.0015010812124847106,True
loyaltyv2_r080_g150,0.8,1.5,0.049431410200885824,0.0020211319135565874,True
loyaltyv2_r080_g300,0.8,3.0,0.08756337430678456,0.0023531983775561057,True
loyaltyv2_r095_g075,0.95,0.75,0.011194866411046377,0.0011830188106904916,False
loyaltyv2_r095_g150,0.95,1.5,0.02279252010107195,0.0018361972604750431,True
loyaltyv2_r095_g300,0.95,3.0,0.04175278521831645,0.00255710588818536,True
