cell,rho,gamma,primary,path_on,path_off,path_diff,path_lo,path_hi,path_verdict,return_rate_3wk_on,permanent_switch_rate_on,recovery_weeks_on,return_rate_3wk_off,permanent_switch_rate_off,recovery_weeks_off,return_rate_3wk_diff,permanent_switch_rate_diff,recovery_weeks_diff
loyaltyv2_r050_g075,0.5,0.75,True,0.0,0.0,0.0,0.0,0.0,equivalent,0.42925986569338176,0.03953730692410366,2.217037037037037,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.014482250809852215,0.0017069335749676368,0.11837037037037046
loyaltyv2_r050_g150,0.5,1.5,True,0.0,0.0,0.0,0.0,0.0,equivalent,0.4352592565298048,0.038228620691314184,2.458974358974359,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.02048164164627525,0.0003982473421781582,0.36030769230769266
loyaltyv2_r050_g300,0.5,3.0,True,0.0,0.0,0.0,0.0,0.0,equivalent,0.43294348911233377,0.04198963641864563,2.8076923076923075,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.018165874228804224,0.004159263069509603,0.709025641025641
loyaltyv2_r080_g075,0.8,0.75,True,0.0,0.0,0.0,0.0,0.0,equivalent,0.4530857186315934,0.03687537757656212,2.081025641025641,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.03830810374806387,-0.0009549957725739078,-0.017641025641025543
loyaltyv2_r080_g150,0.8,1.5,True,0.0,0.0,0.0,0.0,0.0,equivalent,0.46575085008229705,0.037536274050624964,2.036410256410256,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.05097323519876751,-0.00029409929851106215,-0.062256410256410266
loyaltyv2_r080_g300,0.8,3.0,True,0.0,0.0,0.0,0.0,0.0,equivalent,0.48358444156357683,0.036598885903684666,1.9457971014492752,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.06880682668004728,-0.0012314874454513597,-0.15286956521739126
loyaltyv2_r095_g075,0.95,0.75,False,0.0,0.0,0.0,0.0,0.0,equivalent,0.44425974004887525,0.03482234239523079,2.001025641025641,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.029482125165345707,-0.0030080309539052344,-0.09764102564102561
loyaltyv2_r095_g150,0.95,1.5,False,0.0033333333333333335,0.0,0.0033333333333333335,-0.001205997702286583,0.00787266436895325,equivalent,0.46569732918609175,0.04499886361830334,1.9280000000000002,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.0509197143025622,0.007168490269167313,-0.1706666666666663
loyaltyv2_r095_g300,0.95,3.0,False,0.0016666666666666668,0.0,0.0016666666666666668,-0.001599939975,0.004933273308333334,equivalent,0.45845528105539357,0.041771507087683554,2.012,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.04367766617186403,0.003941133738547528,-0.08666666666666645
loyaltyv2_m1_streak,,,False,0.0,0.0,0.0,0.0,0.0,equivalent,0.4423873106254934,0.04045936001575388,2.3280000000000003,0.41477761488352954,0.037830373349136026,2.0986666666666665,0.02760969574196387,0.002628986666617851,0.22933333333333383
