cell,exit_rule,fixed_cost,seeds,final_sellers,peak_sellers,entries,exits,volatility,share_Shigh,share_Slow,passed
phase8_capital_f06,capital,6.0,300,24.863333333333333,28,36.56333333333333,16.69,0.16692320121308798,0.011529695669660812,0.9884703043303392,True
phase8_capital_f08,capital,8.0,300,18.833333333333332,21,30.19333333333333,16.346666666666668,0.11221878483072369,0.001415929203539823,0.9985840707964602,True
phase8_capital_f10,capital,10.0,300,15.053333333333333,17,25.566666666666666,15.506666666666666,0.0947961151729534,0.00022143489813994686,0.99977856510186,True
phase8_capital_f12,capital,12.0,300,12.36,14,22.423333333333332,15.11,0.08725212287712289,,1.0,True
phase8_streak_f06,streak,6.0,300,21.216666666666665,25,53.73,37.46,0.16089264781532836,0.0014139827179890023,0.998586017282011,True
phase8_streak_f08,streak,8.0,300,16.38,20,50.59,39.236666666666665,0.14520758817778942,,1.0,True
phase8_streak_f10,streak,10.0,300,13.19,16,47.11666666666667,38.98,0.1294450214137714,,1.0,True
phase8_streak_f12,streak,12.0,300,10.846666666666666,14,43.58,37.74,0.11938787832537831,,1.0,True
